Wallet,Balance,,Column1,Balance,% total,VLT,,,,Token ID,Address,,,Unique wallet,Num gotchis,% total,VLT,,,Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x3CF4E2F525C3e755c4aae97846379Ef703252288,4776.696524,,0x6186290B28D511bFF971631c916244A9fC539cfE,4766.856555,0.001798373,8.408977167,,,,15339,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x34EC9c1D89cE8Afa701D079FD908FcA95f49667a,15,0.004060639,18.9870601,,,0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,8078.534717,14.25094571,18,22.78447212,37.03541783
0x6186290B28D511bFF971631c916244A9fC539cfE,4766.856555,,0xa919538CeAb5c64608945865835dbC10540feB1D,4421.365532,0.001668031,7.799513448,,,,22144,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,15,0.004060639,18.9870601,,,0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,20978.37139,37.00691305,0,0,37.00691305
0xa919538CeAb5c64608945865835dbC10540feB1D,4421.365532,,0x101aDDC07D63a6B35B199153252168aB9889Dca1,4157.579028,0.001568513,7.334180652,,,,16877,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x985116F8C174fE13325D36685424d1796cC11f51,15,0.004060639,18.9870601,,,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,5654.386329,9.974624784,21,26.58188414,36.55650892
0x101aDDC07D63a6B35B199153252168aB9889Dca1,4157.579028,,0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,4073.51511,0.001536799,7.185887629,,,,12889,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0xc6B513084DCc71cC9814DC05Acba0001d17D7512,15,0.004060639,18.9870601,,,0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5211.500992,9.193352546,20,25.31608013,34.50943268
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,4073.51511,,0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,4039.058446,0.0015238,7.125104323,,,,21331,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,14,0.00378993,17.72125609,,,0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,11935.50279,21.05483336,10,12.65804006,33.71287343
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,4039.058446,,0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,3952.804757,0.001491259,6.972948433,,,,18209,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,14,0.00378993,17.72125609,,,0x1A760e3A431c8B9C075eD1280C8835a1a0F1651b,11765.05435,20.75415365,10,12.65804006,33.41219372
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,3952.804757,,0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,3860.17062,0.001456311,6.80953711,,,,18079,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,14,0.00378993,17.72125609,,,0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,12275.26358,21.65418865,6,7.594824039,29.24901269
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,3860.17062,,0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,3677.771028,0.001387498,6.487774961,,,,11227,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x6186290B28D511bFF971631c916244A9fC539cfE,14,0.00378993,17.72125609,,,0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,6311.799305,11.13433468,14,17.72125609,28.85559077
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,3677.771028,,0xC144e32f2a0DB6507fDdfA630628b80468c05B75,3544.765566,0.00133732,6.253146567,,,,17452,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x472d7E705f3baa44f82bFF5B397330015d810828,13,0.00351922,16.45545208,,,0x34EC9c1D89cE8Afa701D079FD908FcA95f49667a,4932.824026,8.701752219,15,18.9870601,27.68881232
0xC144e32f2a0DB6507fDdfA630628b80468c05B75,3544.765566,,0x76E059C6FF6bf9FFFD5f33AFdf4AB2FD511C9DF4,3450.248468,0.001301662,6.086413605,,,,14974,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,13,0.00351922,16.45545208,,,0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,5635.585481,9.941459133,14,17.72125609,27.66271522
