Wallet,vGHST VLT,Gotchi VLT,Total
0xA1958a37C21372482DEfF4618BAEbbeC23C9a449,0,5.633590361,5.633590361
0x770aaA6828E3659f2D12D6b8CA999D34344385E8,0,5.633590361,5.633590361
0x402C2A801aFbB6641c19FD0FC8fe6282D53D137F,0,5.633590361,5.633590361
0x2717C5753df40110905921D77A64c921E1467221,1.776934178,3.755726908,5.532661086
0x3787Eea0767fE73d272aD543651Ada3F4dad8279,5.31548774,0,5.31548774
0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,1.513538271,3.755726908,5.269265179
0x4Cd3210Ce0E7AEF75eCFf5475B75034dc328B1d4,1.373312721,3.755726908,5.129039628
0xC44F63485Ed5A23FbEEaE300adCA6a08A506aEF1,1.157023109,3.755726908,4.912750017
0x481A2be12532D5CD1295239557168d01C5d09708,1.068939756,3.755726908,4.824666663
0x31849CbcD3Ab8835455296CCDf77AD78AF99196e,4.710893233,0,4.710893233
0x4958CE329Ed1Eb97e02c59cB847c692941081219,2.768953078,1.877863454,4.646816532
0x8bA89f1c8e3D7543E1D74a82e0388373F28C36bA,0.889651556,3.755726908,4.645378464
0x9b328488a8f0fa20628bb959769F0BA78de06466,4.624127699,0,4.624127699
0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,0.820924824,3.755726908,4.576651731
0x6877FdEAC0d0D5d61B4cA3BBd42501a2fF02c144,2.552704637,1.877863454,4.430568091
0xC17f20335080cD0b7283e042C89F16605f3A085f,2.551270053,1.877863454,4.429133507
0x0b6bF854CB7c816518a96317893e43AB219BD365,6.43E-01,3.755726908,4.398458898
0x518a8463FFFf4435431d889E507Fa1a9E1c34502,0.611960093,3.755726908,4.367687
0x697203445B51cc43664EeB8D87dB3117425b3F52,0.578345362,3.755726908,4.33407227
0x25955561740Ee18502B1A329a664C2Cd77B23e48,2.428156608,1.877863454,4.306020062
0xafae1E9EcD3a355b93960402E875b886f718C55E,0.545561409,3.755726908,4.301288317
0x3A631b481a1B225e32D20C28BB531587e9F32dA0,2.359411675,1.877863454,4.237275129
0x995b14DAdC423C93C816D3A96d392A0a3F203304,0.43668282,3.755726908,4.192409728
0x868CE7eF95E86a6D00E1c7876FfbD01dc5B719ad,4.190202247,0,4.190202247
0x001900845643957d031eCdB3c5fd84EF08F6AaCa,0.428074434,3.755726908,4.183801341
0x7bB85b553c04cF2dFCBbDac998eA3621e17236c3,0.424606057,3.755726908,4.180332965
0xaA99157856D8785C3A0BAB85F070766554A1d882,0.405086459,3.755726908,4.160813366
0xbFf36B0e434F7DDd28c523571c3B9F93f60132F6,0.342117727,3.755726908,4.097844635
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,0.283309169,3.755726908,4.039036076
0x551d3A37E1613E8b21f2AD613A01Bf97ec2d2389,0.254019302,3.755726908,4.009746209
0x00553b963DE06016C68681C9BEE10A79c51c5D8A,0.214629556,3.755726908,3.970356464
0x3e05FC835a92fa1AD481C623d1F5097BFd55Bb18,0.214137285,3.755726908,3.969864192
0x1CBd483CDa3AeADCC668be6e1252B01Bf3824411,0.210866828,3.755726908,3.966593736
0xA839199aC9Ae19b15265659e45C60B67bcA1B477,0.207561358,3.755726908,3.963288266
0x0998460853aBFa4D8ef6F2591AabeAE4D060Fb93,3.957434678,0,3.957434678
0x59F76c18a614085E16A0B9e8455b8999f76b0DCa,2.053969262,1.877863454,3.931832716
0xba96a2ba89eA249148ee599d2BBcD669DE94d4B6,3.91E+00,0,3.908086673
0xEd71d7586839Db87Ee8D48454969AB8609f24136,2.028733888,1.877863454,3.906597342
0xaA983Fe498c300094B708c3B48deDE9bd91A0183,0.058694234,3.755726908,3.814421141
0xCD05a3969c5158D658a9bDF3Ee6eBcC0712a0292,0.033542024,3.755726908,3.789268931
0x0030B9F1925408D79be83C7cecfffdbACb638e9B,0.026334026,3.755726908,3.782060934
0x73c65A848607560345d363848a94862cdD26a3d4,0.021462938,3.755726908,3.777189846
0xfe0D666e2B1A69d57475C4D516AF1fD47FD2173c,0.021396508,3.755726908,3.777123415
0x826088b7174bd1f07BeCf359025Fa751E6AC11CB,0.021267167,3.755726908,3.776994074
0x56f820BC0bB5326C74b804CEbAA37C3EE7524f8E,0.016699639,3.755726908,3.772426547
0xd6715f048B7812F6fcFd04a84CcE9F391968e705,0.010689181,3.755726908,3.766416089
0x11f11DAFde2eD523CD935184dd28876cE52F1652,1.887154342,1.877863454,3.765017796
0xC0fca04Ff8721462c53d848610818b25427B5b29,1.60487E-07,3.755726908,3.755727068
0xbfD82bD44b3DF57B26e29770D0c8f1690f1c49F1,1.10E-07,3.755726908,3.755727018
0xa275d3995032B468898c6AA80E132a307ac086D7,8.74334E-08,3.755726908,3.755726995
0x7784981924567c0AA2c0c3e17ce9b1eE309E5701,0,3.755726908,3.755726908
0x5B71ab89a74Eb8515585bf100A69BcF12F9eaA3b,0,3.755726908,3.755726908
0x2F1eA6322C976925F5121674196a364c05A2Eec9,0,3.755726908,3.755726908
0x1dce25415D54E6bc694aaFa6cd5e650d28Bb786A,0,3.755726908,3.755726908
0x33E580CEe928D83a61B98905a1F9bE68eA6279B8,0,3.755726908,3.755726908
0x3b66bcA9b58ACb2e0894654f27EDC96fa1b6B0F1,0,3.755726908,3.755726908
0x9319674B4532aCb79B45831D8f2380A80867a445,0,3.755726908,3.755726908
0xE7c8712fC60B20693046c71E5012801eaAfc7217,0,3.755726908,3.755726908
0xE2dE15659663F7024699E1e573C033e2EFD5bCb1,0,3.755726908,3.755726908
0x72Da31304a7245195f4f4cB3bd7607e08fF9648B,0,3.755726908,3.755726908
0x6C522c94c3f5b213Ccf3298e03D5C947b760a2cB,0,3.755726908,3.755726908
0x4DDcDC7404233772A8887fA89bfB4ae41B47a087,0,3.755726908,3.755726908
0x505d867c40931Bf56393F23CFA766fff8FA406e3,0,3.755726908,3.755726908
0x5dA5F4c020f856aBdB168fd35c957D6006ba2edE,0.00E+00,3.755726908,3.755726908
0x3FA9db8d720679E8e5213f6C5D88faB766058e20,0,3.755726908,3.755726908
0x288d3b021202293788d76F76947C74a65450374C,0,3.755726908,3.755726908
0x22afACf0338dB23D9DEE2ECE5399ec6b24ac8Ab4,0,3.755726908,3.755726908
0xC83d2035094E05D7a83BeA5f92480aBB3577228B,3.629429248,0,3.629429248
0x9f32B5A3A6A21dF1671c74372F18415CB3FCaca2,1.655949684,1.877863454,3.533813138
0xdeba9a360C9da03e5Fb30D617b6d28426E3c7Fc6,1.568155456,1.877863454,3.446018909
0x3F6459642Af95688BF01e34d73Bd34FD121e47b2,3.41378502,0,3.41378502
0xb910119F8B1838A95F9fbcF575E51e1E72469517,3.396410119,0,3.396410119
0x157DD18CF70815dF7c25948ced9760aA61f6DF17,3.317592612,0,3.317592612
0x2b62Cb060e78500B482a02aCc7a111b62d46E5A9,3.296564383,0,3.296564383
0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,1.390481513,1.877863454,3.268344967
0x62B5c94aF16F8b5b53BEd8DA61ecB5Ba41C14931,1.360737329,1.877863454,3.238600782
0x9702235d4999201f3Ab13226232942593E84B576,1.314739742,1.877863454,3.192603196
0xdc25324B8186DE47A976191a54ea0366428Af632,3.184602804,0,3.184602804
0x7a1979A89c39E64b4c2dc6fd87f4f719Ae96a0ec,1.303176871,1.877863454,3.181040324
0xe5Ae5AAc9A19Ec43aBdd161e95640A1cc12aE348,3.061691638,0,3.061691638
0xA5ba6Ae9CDF56761be100a33DE63363660ef744A,1.173166365,1.877863454,3.051029819
0x1B3c00A967aA935100342eCdf38198E21De1a1CF,1.160620175,1.877863454,3.038483629
0x552398406EAf406c6a9A52c7D7D3C601E588Dc98,1.137556189,1.877863454,3.015419643
0xf5Fe364D18F4a5A53BADCe9a046ba74cfC97f6Fb,1.064912136,1.877863454,2.942775589
0x6E9886aC892EC46A4CBb77E28B94Db4ddfc8Fb21,1.042146657,1.877863454,2.920010111
0x1AF8AF5ab89536BDeC74F51676ae24fA7E70C21b,2.913082723,0,2.913082723
0xc15E011B8E117FbA8cC241C70950fC79f515AB3E,2.866053504,0,2.866053504
0xBf3FA037a65A6816623BB7fbf836E3540cd857AA,2.835541922,0,2.835541922
0xFCEE120094854fBfdc98cE8a80b8057BDEb928a7,0.894587882,1.877863454,2.772451336
0xD15eF7Db60B1bbf54D0C9c56496f118adD9Ed02b,0.830182849,1.877863454,2.708046303
0x88d5EB1993dD04bf2175f940e64fD49A90D13F8b,0.829438325,1.877863454,2.707301779
0x31F10E898CA5432c95e287e671BC1EFef8Ce5362,0.803850423,1.877863454,2.681713877
0x6d96f02af1b8701E831A05AB273B75C6E2F02D1d,2.637158475,0,2.637158475
0x9720bB804ACA0a01BFF95AF749B34eCA59eD5fb4,0.742993892,1.877863454,2.620857345
0x9ded7B691962446704C7bD7D0dfb1F028a2a52F1,0.726280358,1.877863454,2.604143811
0xb19BC46C52A1352A071fe2389503B6FE1ABD50Ff,0.709329663,1.877863454,2.587193117
0x7dA08FBa7A69c67c0D06fD433aF0C53F9c75CeE8,0.675077726,1.877863454,2.55294118
0x4Faf6D6819A7f9085bA6587b867Ec6ac20aC6641,0.620509797,1.877863454,2.498373251
0x507F0F88f638AA8a9b26a954A1e0aB680F663D4a,0.602743252,1.877863454,2.480606706
