Wallet ,vGHST VLT,Gotchi VLT,Total VLT
0x9b328488a8f0fa20628bb959769F0BA78de06466,5.146227161,0,5.146227161
0x49e37446d862D0E29934aAF51Cdb128f9c9cA4bA,0.035553953,5.10096,5.136513953
0xcfbc091F167bBa962790E23Ee2DDA557938b8BAf,0.023791081,5.10096,5.124751081
0x15aE010DffeC19729A410B82d51337B385a96b95,0.008296986,5.10096,5.109256986
0xadC045001169071580ad97aF8cF5efB7f235A719,0.001880181,5.10096,5.102840181
0x284aA770c801698e77dbA304c6caADbA6fFDe9ff,2.38016E-07,5.10096,5.100960238
0x13E965baAFDa80C7501c23cbED282d5e53e3066B,2.11538E-07,5.10096,5.100960212
0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,1.563E-07,5.10096,5.100960156
0xAF777F6ff15de8d50527208d8cbd36576b213f97,0,5.10096,5.10096
0x4738c8b9e0d7b48db4056BF017D2F90b2319630d,0,5.10096,5.10096
0xc7a00B2635339d1C4EB7A22AC73f53b7a9bD0613,0,5.10096,5.10096
0x87cdacBEC845896b11D449884B7430B89060bBa5,0,5.10096,5.10096
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,0,5.10096,5.10096
0x8fF077D2A138C2f6Bd5De99D91BE50Ce4322f312,0,5.10096,5.10096
0xA1958a37C21372482DEfF4618BAEbbeC23C9a449,0,5.10096,5.10096
0x770aaA6828E3659f2D12D6b8CA999D34344385E8,0,5.10096,5.10096
0x402C2A801aFbB6641c19FD0FC8fe6282D53D137F,0,5.10096,5.10096
0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,1.684428344,3.40064,5.085068344
0xb19BC46C52A1352A071fe2389503B6FE1ABD50Ff,1.675393318,3.40064,5.076033318
0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,1.547477534,3.40064,4.948117534
0xad6034C145530682eD7643478b6678e2E2bBaad6,1.535538501,3.40064,4.936178501
0x4Cd3210Ce0E7AEF75eCFf5475B75034dc328B1d4,1.528370253,3.40064,4.929010253
0x62B5c94aF16F8b5b53BEd8DA61ecB5Ba41C14931,1.514375003,3.40064,4.915015003
0x9702235d4999201f3Ab13226232942593E84B576,1.463183936,3.40064,4.863823936
0x7a1979A89c39E64b4c2dc6fd87f4f719Ae96a0ec,1.450315528,3.40064,4.850955528
0x4958CE329Ed1Eb97e02c59cB847c692941081219,3.081589104,1.70032,4.781909104
0xa499Df2Bdae854093e5576c26C9e53E1b30d25E5,4.779614632,0,4.779614632
0x0AE57350662045c32B34f3b1E70C36E4EF1502E2,1.310543091,3.40064,4.711183091
0x552398406EAf406c6a9A52c7D7D3C601E588Dc98,1.265995003,3.40064,4.666635003
0x868CE7eF95E86a6D00E1c7876FfbD01dc5B719ad,4.663308199,0,4.663308199
0x481A2be12532D5CD1295239557168d01C5d09708,1.189631248,3.40064,4.590271248
0xf5Fe364D18F4a5A53BADCe9a046ba74cfC97f6Fb,1.185148878,3.40064,4.585788878
0x7b0B5fbb7B5CA042D82128F66965bfD185Ac30DC,1.139205035,3.40064,4.539845035
0x0998460853aBFa4D8ef6F2591AabeAE4D060Fb93,4.404259387,0,4.404259387
0xba96a2ba89eA249148ee599d2BBcD669DE94d4B6,4.349339614,0,4.349339614
0x88d5EB1993dD04bf2175f940e64fD49A90D13F8b,0.92308827,3.40064,4.32372827
0xde46215e67d35972f4C880D59969DD08a4c9fA28,0.866956047,3.40064,4.267596047
0x31F10E898CA5432c95e287e671BC1EFef8Ce5362,0.851616014,3.40064,4.252256014
0x9ded7B691962446704C7bD7D0dfb1F028a2a52F1,0.808282977,3.40064,4.208922977
0xC0fca04Ff8721462c53d848610818b25427B5b29,0.752515501,3.40064,4.153155501
0x7dA08FBa7A69c67c0D06fD433aF0C53F9c75CeE8,0.751299176,3.40064,4.151939176
0x4Faf6D6819A7f9085bA6587b867Ec6ac20aC6641,0.690570109,3.40064,4.091210109
0xc78652Eae0b73256F0598ddDA47B6814B23a8D8F,0.658815266,3.40064,4.059455266
0x697203445B51cc43664EeB8D87dB3117425b3F52,0.643644987,3.40064,4.044284987
0xC83d2035094E05D7a83BeA5f92480aBB3577228B,4.03921963,0,4.03921963
0xEd71d7586839Db87Ee8D48454969AB8609f24136,2.257793494,1.70032,3.958113494
0x995b14DAdC423C93C816D3A96d392A0a3F203304,0.485987658,3.40064,3.886627658
0x001900845643957d031eCdB3c5fd84EF08F6AaCa,0.476407318,3.40064,3.877047318
0x7bB85b553c04cF2dFCBbDac998eA3621e17236c3,0.472547336,3.40064,3.873187336
0x3F6459642Af95688BF01e34d73Bd34FD121e47b2,3.799227515,0,3.799227515
0x6E9886aC892EC46A4CBb77E28B94Db4ddfc8Fb21,0.382180303,3.40064,3.782820303
0xb910119F8B1838A95F9fbcF575E51e1E72469517,3.779890856,0,3.779890856
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,0.336651306,3.40064,3.737291306
0x546c1528319f9Fc621F5752D98690f28293a5c1D,0.325619454,3.40064,3.726259454
0x157DD18CF70815dF7c25948ced9760aA61f6DF17,3.692174248,0,3.692174248
0x551d3A37E1613E8b21f2AD613A01Bf97ec2d2389,0.282700028,3.40064,3.683340028
0x2b62Cb060e78500B482a02aCc7a111b62d46E5A9,3.66877177,0,3.66877177
0x00553b963DE06016C68681C9BEE10A79c51c5D8A,0.238862878,3.40064,3.639502878
0x3e05FC835a92fa1AD481C623d1F5097BFd55Bb18,0.238315025,3.40064,3.638955025
0x7909759B82EB27aB3Cc886C5f3fCE3A72a565b39,0.238125406,3.40064,3.638765406
0x1CBd483CDa3AeADCC668be6e1252B01Bf3824411,0.23467531,3.40064,3.63531531
0xA839199aC9Ae19b15265659e45C60B67bcA1B477,0.230996627,3.40064,3.631636627
0xEf3FEA148B4933A9d8716842E093AACbFC96600c,3.558540201,0,3.558540201
0xdc25324B8186DE47A976191a54ea0366428Af632,3.544168871,0,3.544168871
0xF79C329A2EB7e98E58a24178777b72Eb64306298,3.54102637,0,3.54102637
0xaA983Fe498c300094B708c3B48deDE9bd91A0183,0.088927794,3.40064,3.489567794
0x80E7E06F096380DD0D3f9ceC4fDEcE370DB4CDbD,0.05905641,3.40064,3.45969641
0xdeba9a360C9da03e5Fb30D617b6d28426E3c7Fc6,1.745212227,1.70032,3.445532227
0x0030B9F1925408D79be83C7cecfffdbACb638e9B,0.029307339,3.40064,3.429947339
0x73c65A848607560345d363848a94862cdD26a3d4,0.023886269,3.40064,3.424526269
0xfe0D666e2B1A69d57475C4D516AF1fD47FD2173c,0.023812337,3.40064,3.424452337
0x826088b7174bd1f07BeCf359025Fa751E6AC11CB,0.023668393,3.40064,3.424308393
0x56f820BC0bB5326C74b804CEbAA37C3EE7524f8E,0.018585157,3.40064,3.419225157
0xd6715f048B7812F6fcFd04a84CcE9F391968e705,0.011896071,3.40064,3.412536071
0xCD05a3969c5158D658a9bDF3Ee6eBcC0712a0292,1.92173E-07,3.40064,3.400640192
0xbfD82bD44b3DF57B26e29770D0c8f1690f1c49F1,1.2275E-07,3.40064,3.400640123
0xa275d3995032B468898c6AA80E132a307ac086D7,9.73053E-08,3.40064,3.400640097
0xE9bb842F4535fB16aeFd984C4C06e97E55a50318,5.10848E-08,3.40064,3.400640051
0x7784981924567c0AA2c0c3e17ce9b1eE309E5701,0,3.40064,3.40064
0x5B71ab89a74Eb8515585bf100A69BcF12F9eaA3b,0,3.40064,3.40064
0x4dC5Ea211E424cE66dD451A7Ac3BfdB99eb1889B,0,3.40064,3.40064
0x2F1eA6322C976925F5121674196a364c05A2Eec9,0,3.40064,3.40064
0x1dce25415D54E6bc694aaFa6cd5e650d28Bb786A,0,3.40064,3.40064
0x33E580CEe928D83a61B98905a1F9bE68eA6279B8,0,3.40064,3.40064
0xE2dE15659663F7024699E1e573C033e2EFD5bCb1,0,3.40064,3.40064
0x3b66bcA9b58ACb2e0894654f27EDC96fa1b6B0F1,0,3.40064,3.40064
0x6C522c94c3f5b213Ccf3298e03D5C947b760a2cB,0,3.40064,3.40064
