Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT
0x6794BDa8e07FAA690d6924B259992Ed354aeC9Bb,163.1892149,0.21079073,7,8.39045373,8.601244459
0x6299dbe5BE8ED5d5DF9Ff5a21B485c7da0cF3476,1020.590163,1.31829144,6,7.191817483,8.510108922
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,75.2685234,0.097223992,7,8.39045373,8.487677722
0x0Bd93eb28097CC848649D8d4Cb429536fC448b30,985.7259703,1.273257528,6,7.191817483,8.465075011
0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,6551.984634,8.463167262,0,0,8.463167262
0x783FF1952E1D8bd4A9d60D579F92cbC4b8c6ec4d,0.070871304,9.15441E-05,7,8.39045373,8.390545274
0x7b0B5fbb7B5CA042D82128F66965bfD185Ac30DC,3.59353E-05,4.64174E-08,7,8.39045373,8.390453776
0x7953bB4AFA683C36396Bee7Dd7d3647cF640B0d2,0,0,7,8.39045373,8.39045373
0x3c2262255793f2b4629F7b9A2D57cE78f7842A8d,0,0,7,8.39045373,8.39045373
0x984b148D106c204f2d1a84b0053477971e1DF56a,0,0,7,8.39045373,8.39045373
0x9BB3797b7EAd2E3D7ccA79c2C952D1ca5060cC1c,836.6575405,1.08070655,6,7.191817483,8.272524032
0xC338f8F06aa7BeBBcc3660f096771D159DB346CF,6396.253483,8.262010079,0,0,8.262010079
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,825.9387765,1.066861173,6,7.191817483,8.258678656
0xaFa59C65e2965B6A0f4d7780CeEb4a8ed30786d4,4505.222034,5.819373787,2,2.397272494,8.216646281
0x30AF6Bcfd680f01Df88bf267aF097bd84eF7e0c5,700.028173,0.904223048,6,7.191817483,8.096040531
0xc928499a080594C8854D1A46DCAe5E862acC5d08,4338.395074,5.603884198,2,2.397272494,8.001156693
0x071D217637b6322a7faaC6895a9EB00e529D3424,6111.476266,7.894164708,0,0,7.894164708
0x7a9A2FFA209C212e8c36e74FB209518E959F65dB,4225.212141,5.457686345,2,2.397272494,7.854958839
0xc976895017c81Ac926478C26c347BBEd202d0508,1414.863872,1.827572906,5,5.993181236,7.820754142
0x98De69Fc87790bF9679e5B781a03e6821F3d2F75,285.8808818,0.36927097,6,7.191817483,7.561088452
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,3952.804757,5.105819028,2,2.397272494,7.503091522
0x581dE43B0273915f61D015E394D2C6aF1F9ce8E6,2941.27011,3.799224555,3,3.595908741,7.395133297
0x628cC4601166a44e5378717790c8Da50de0cce9B,2927.641728,3.781620839,3,3.595908741,7.37752958
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,18.94621117,0.02447273,6,7.191817483,7.216290213
0xA63519e67dAe9A551AD34ae679cf0E911a78381A,0,0,6,7.191817483,7.191817483
0x3d856ae467561f78Cfe32318D9DD3f89957EfeEB,0,0,6,7.191817483,7.191817483
0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,2736.723119,3.535012183,3,3.595908741,7.130920924
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,1696.28197,2.19107932,4,4.794544988,6.985624308
0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,6.885760345,0,0,6.885760345
0x3FbacD52FA6F1F15Bc3D776474FdAB07ec9D8d59,5258.411263,6.792264716,0,0,6.792264716
0x5c108A3889101991e47B7C9Ab47dc7c5c6De583B,4295.943534,5.549049748,1,1.198636247,6.747685995
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,1362.753174,1.760261767,4,4.794544988,6.554806755
0x6900C1F8E31B786aD9a85219D6D3FcA20FEdBD3F,4999.129432,6.457351613,0,0,6.457351613
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,321.6751312,0.415506231,5,5.993181236,6.408687466
0xc6B513084DCc71cC9814DC05Acba0001d17D7512,4961.362143,6.408567787,0,0,6.408567787
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,6.387131365,0,0,6.387131365
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,1200.665692,1.55089414,4,4.794544988,6.345439129
